GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Tax-Calculator,br.com.catalisa.zup.Tax.Calculator.DTOs.Tax,TaxDTO,176,46,38,0,5,7,24,10,5,10
Tax-Calculator,br.com.catalisa.zup.Tax.Calculator.DTOs.Tax,CalcTaxDTO,159,27,20,0,2,5,19,5,9,5
Tax-Calculator,br.com.catalisa.zup.Tax.Calculator.Controllers.Tax,TaxController,28,41,0,0,6,6,1,5,1,5
Tax-Calculator,br.com.catalisa.zup.Tax.Calculator.DTOs.User,AuthRequest,15,15,0,0,3,3,4,3,4,3
Tax-Calculator,br.com.catalisa.zup.Tax.Calculator.DTOs.User,AuthResponse.AuthResponseBuilder,18,0,0,0,1,0,4,0,4,0
Tax-Calculator,br.com.catalisa.zup.Tax.Calculator.DTOs.User,UserResponse,0,21,0,0,0,8,0,4,0,4
Tax-Calculator,br.com.catalisa.zup.Tax.Calculator.DTOs.User,AuthResponse,4,9,0,0,1,2,1,2,1,2
Tax-Calculator,br.com.catalisa.zup.Tax.Calculator.DTOs.User,AuthRequest.AuthRequestBuilder,27,0,0,0,1,0,5,0,5,0
Tax-Calculator,br.com.catalisa.zup.Tax.Calculator.DTOs.User,RegisterRequest,15,21,0,0,7,4,4,4,4,4
Tax-Calculator,br.com.catalisa.zup.Tax.Calculator.Services.Tax,DeleteTax,0,29,0,4,0,7,0,4,0,2
Tax-Calculator,br.com.catalisa.zup.Tax.Calculator.Services.Tax,CalcTax,0,38,0,0,0,5,0,3,0,3
Tax-Calculator,br.com.catalisa.zup.Tax.Calculator.Services.Tax,CreateTax,0,43,0,0,0,7,0,2,0,2
Tax-Calculator,br.com.catalisa.zup.Tax.Calculator.Services.Tax,ViewTax,0,59,0,0,0,7,0,5,0,5
Tax-Calculator,br.com.catalisa.zup.Tax.Calculator.Controllers.User,AuthController,0,34,0,0,0,8,0,3,0,3
Tax-Calculator,br.com.catalisa.zup.Tax.Calculator.Controllers.User,UserController,0,23,0,2,0,5,0,3,0,2
Tax-Calculator,br.com.catalisa.zup.Tax.Calculator.Config,SecurityConfig,0,175,0,0,0,19,0,9,0,9
Tax-Calculator,br.com.catalisa.zup.Tax.Calculator.Config,JwtAuthenticationFilter,63,9,10,0,15,1,6,1,1,1
Tax-Calculator,br.com.catalisa.zup.Tax.Calculator.Config,OpenAPIConfig,0,3,0,0,0,1,0,1,0,1
Tax-Calculator,br.com.catalisa.zup.Tax.Calculator.Exceptions,InternalServerErrorException,4,0,0,0,2,0,1,0,1,0
Tax-Calculator,br.com.catalisa.zup.Tax.Calculator.Exceptions,GlobalExceptionHandler,51,3,0,0,9,1,7,1,7,1
Tax-Calculator,br.com.catalisa.zup.Tax.Calculator.Exceptions,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
Tax-Calculator,br.com.catalisa.zup.Tax.Calculator.Exceptions,BadRequestException,0,4,0,0,0,2,0,1,0,1
Tax-Calculator,br.com.catalisa.zup.Tax.Calculator.Models,User.UserBuilder,11,35,0,0,0,1,1,6,1,6
Tax-Calculator,br.com.catalisa.zup.Tax.Calculator.Models,User,34,34,0,0,6,7,10,7,10,7
Tax-Calculator,br.com.catalisa.zup.Tax.Calculator.Models,Role,0,15,0,0,0,3,0,1,0,1
Tax-Calculator,br.com.catalisa.zup.Tax.Calculator.Models,Tax,251,54,30,0,9,17,26,10,11,10
Tax-Calculator,br.com.catalisa.zup.Tax.Calculator,TaxCalculatorApplication,5,3,0,0,2,1,1,1,1,1
Tax-Calculator,br.com.catalisa.zup.Tax.Calculator.Services.User,AuthService,0,67,0,2,0,11,0,4,0,3
Tax-Calculator,br.com.catalisa.zup.Tax.Calculator.Services.User,UserDetailsServiceImpl,13,6,0,0,2,1,2,1,2,1
Tax-Calculator,br.com.catalisa.zup.Tax.Calculator.Services.User,JwtService,70,7,4,0,17,2,7,1,5,1
Tax-Calculator,br.com.catalisa.zup.Tax.Calculator.Services.User,UserService,3,16,0,0,0,3,0,3,0,3
Tax-Calculator,br.com.catalisa.zup.Tax.Calculator.Services.Tax.TaxBases,TaxInitializer,0,64,0,0,0,17,0,2,0,2
